Date,Adj Close
2014-05-22,1892.49
2014-05-21,1888.03
2014-05-20,1872.83
2014-05-19,1885.08
2014-05-16,1877.86
2014-05-15,1870.85
2014-05-14,1888.53
2014-05-13,1897.45
2014-05-12,1896.65
2014-05-09,1878.48
2014-05-08,1875.63
2014-05-07,1878.21
2014-05-06,1867.72
2014-05-05,1884.66
2014-05-02,1881.14
2014-05-01,1883.68
2014-04-30,1883.95
2014-04-29,1878.33
2014-04-28,1869.43
2014-04-25,1863.40
2014-04-24,1878.61
2014-04-23,1875.39
2014-04-22,1879.55
2014-04-21,1871.89
2014-04-17,1864.85
2014-04-16,1862.31
2014-04-15,1842.98
2014-04-14,1830.61
2014-04-11,1815.69
2014-04-10,1833.08
2014-04-09,1872.18
2014-04-08,1851.96
2014-04-07,1845.04
2014-04-04,1865.09
2014-04-03,1888.77
2014-04-02,1890.90
2014-04-01,1885.52
2014-03-31,1872.34
2014-03-28,1857.62
2014-03-27,1849.04
2014-03-26,1852.56
2014-03-25,1865.62
2014-03-24,1857.44
2014-03-21,1866.52
2014-03-20,1872.01
2014-03-19,1860.77
2014-03-18,1872.25
2014-03-17,1858.83
2014-03-14,1841.13
2014-03-13,1846.34
2014-03-12,1868.20
2014-03-11,1867.63
2014-03-10,1877.17
2014-03-07,1878.04
2014-03-06,1877.03
2014-03-05,1873.81
2014-03-04,1873.91
2014-03-03,1845.73
2014-02-28,1859.45
2014-02-27,1854.29
2014-02-26,1845.16
2014-02-25,1845.12
2014-02-24,1847.61
2014-02-21,1836.25
2014-02-20,1839.78
2014-02-19,1828.75
2014-02-18,1840.76
2014-02-14,1838.63
2014-02-13,1829.83
2014-02-12,1819.26
2014-02-11,1819.75
2014-02-10,1799.84
2014-02-07,1797.02
2014-02-06,1773.43
2014-02-05,1751.64
2014-02-04,1755.20
2014-02-03,1741.89
2014-01-31,1782.59
2014-01-30,1794.19
2014-01-29,1774.20
2014-01-28,1792.50
2014-01-27,1781.56
2014-01-24,1790.29
2014-01-23,1828.46
2014-01-22,1844.86
2014-01-21,1843.80
2014-01-17,1838.70
2014-01-16,1845.89
2014-01-15,1848.38
2014-01-14,1838.88
2014-01-13,1819.20
2014-01-10,1842.37
2014-01-09,1838.13
2014-01-08,1837.49
2014-01-07,1837.88
2014-01-06,1826.77
2014-01-03,1831.37
2014-01-02,1831.98
2013-12-31,1848.36
2013-12-30,1841.07
2013-12-27,1841.40
2013-12-26,1842.02
2013-12-24,1833.32
2013-12-23,1827.99
2013-12-20,1818.32
2013-12-19,1809.60
2013-12-18,1810.65
2013-12-17,1781.00
2013-12-16,1786.54
2013-12-13,1775.32
2013-12-12,1775.50
2013-12-11,1782.22
2013-12-10,1802.62
2013-12-09,1808.37
2013-12-06,1805.09
2013-12-05,1785.03
2013-12-04,1792.81
2013-12-03,1795.15
2013-12-02,1800.90
2013-11-29,1805.81
2013-11-27,1807.23
2013-11-26,1802.75
2013-11-25,1802.48
2013-11-22,1804.76
2013-11-21,1795.85
2013-11-20,1781.37
2013-11-19,1787.87
2013-11-18,1791.53
2013-11-15,1798.18
2013-11-14,1790.62
2013-11-13,1782.00
2013-11-12,1767.69
2013-11-11,1771.89
2013-11-08,1770.61
2013-11-07,1747.15
2013-11-06,1770.49
2013-11-05,1762.97
2013-11-04,1767.93
2013-11-01,1761.64
2013-10-31,1756.54
2013-10-30,1763.31
2013-10-29,1771.95
2013-10-28,1762.11
2013-10-25,1759.77
2013-10-24,1752.07
